date,state,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-16,RS,3734,138,17956,11491011,43,8.4,31366,18094,13272,1121.3333333333333,690.6666666666666,6.666666666666667,697.3333333333333,424.0,239.36111111111111,144.05555555555557,-0.11111111111111101,143.94444444444446,95.41666666666666,36.34027777777774,-30.5625,,0.007626837625732287,0.004399668430784927,2729.6118679200636,12.009387163583778,1562.6127239805096,1574.6221111440934,1154.9897567759704
2020-05-17,RS,3735,144,18549,11491011,43,8.4,31374,18693,12681,2620.8333333333335,1546.8333333333333,5.833333333333333,1552.6666666666665,1068.166666666667,390.5833333333333,218.83333333333334,-0.1944444444444445,218.63888888888889,171.94444444444443,77.88194444444446,,-15.448784722222225,0.0077034183919114105,0.004589787722317842,2730.308064277373,12.531534431565682,1614.2182789660544,1626.74981339762,1103.558250879753
2020-05-18,RS,3750,151,18654,11491011,43,8.4,31500,18805,12695,2489.1666666666665,1527.5,5.666666666666667,1533.1666666666667,955.9999999999998,440.3055555555555,265.0,-0.30555555555555564,264.69444444444446,175.61111111111103,-63.34027777777778,-34.67708333333332,,0.00802977931401223,0.0047936507936507935,2741.273156904993,13.140706244211236,1623.3558561557377,1636.496562399949,1104.776594505044
2020-05-19,RS,3798,160,18818,11491011,43,8.4,31903,18978,12925,3057.5,1822.1666666666667,5.666666666666667,1827.8333333333335,1229.6666666666665,457.36111111111114,301.6666666666667,-0.08333333333333333,301.58333333333337,155.77777777777777,-109.4861111111111,-49.42534722222223,,0.008430814627463378,0.005015202332069085,2776.344048404444,13.923927146184091,1637.6278814805764,1651.5518086267605,1124.7922397776836
2020-05-20,RS,4973,161,24384,11491011,43,8.4,41773,24545,17228,3641.3333333333335,2131.3333333333335,5.333333333333333,2136.666666666667,1504.6666666666665,-14.0,47.888888888888914,0.1944444444444445,48.08333333333336,-62.08333333333336,-102.36805555555554,,,0.006559380729272765,0.0038541641730304266,3635.276304234675,14.010951690847742,2122.0064970784556,2136.0174487693034,1499.258855465372
2020-05-21,RS,5473,166,26818,11491011,43,8.4,45973,26984,18989,3808.0,2308.0,4.833333333333333,2312.8333333333335,1495.1666666666665,-47.361111111111086,22.75,0.25,23.0,-70.36111111111109,-119.81944444444446,,,0.006151793655499556,0.0036108150436125553,4000.7793918220077,14.446074414165995,2333.824238789781,2348.270313203947,1652.5090786180606
2020-05-22,RS,5918,172,28889,11491011,43,8.4,49711,29061,20650,3865.5,2500.6666666666665,6.166666666666667,2506.833333333333,1358.666666666667,30.833333333333332,76.41666666666663,0.19444444444444434,76.61111111111107,-45.77777777777774,,,,0.005918585045249647,0.003459998793023677,4326.077139774733,14.968221682147899,2514.0520707882015,2529.0202924703494,1797.0568473043843
2020-05-23,RS,6336,176,31337,11491011,43,8.4,53222,31513,21709,2536.8333333333335,1834.1666666666667,7.0,1841.1666666666667,695.6666666666667,-21.916666666666668,36.888888888888836,0.22222222222222232,37.11111111111106,-59.02777777777773,,,,0.005584996668041761,0.003306903160347225,4631.620316088811,15.3163198608025,2727.088156124818,2742.4044759856206,1889.2158401031902
2020-05-24,RS,6470,180,32502,11491011,43,8.4,54348,32682,21666,2205.0,1664.0,7.166666666666667,1671.1666666666667,533.8333333333333,12.138888888888914,13.138888888888914,0.25,13.388888888888914,-1.25,44.729166666666664,,,0.005507618872774004,0.003311989401633915,4729.609953380082,15.664418039457102,2828.471750657971,2844.136168697428,1885.4737846826533
2020-05-25,RS,6559,197,33822,11491011,43,8.4,55096,34019,21077,3242.5,2280.6666666666665,6.833333333333333,2287.5,955.0,2.7777777777777524,-10.333333333333334,-0.27777777777777785,-10.611111111111112,13.388888888888864,,,,0.005790881566183603,0.0035755771743865255,4794.704312788492,17.143835298739162,2943.3441496139894,2960.4879849127287,1834.216327875763
2020-05-26,RS,6785,203,35389,11491011,43,8.4,56994,35592,21402,3509.8333333333335,2352.6666666666665,6.666666666666667,2359.333333333333,1150.5000000000005,209.75,124.24999999999996,-0.36111111111111116,123.88888888888884,85.86111111111116,-11.909722222222229,-30.578125,,0.0057035288828950325,0.0035617784328174896,4959.876898560101,17.665982566721066,3079.71161110193,3097.377593668651,1862.4993048914496
2020-05-27,RS,7048,209,36802,11491011,43,8.4,59203,37011,22192,3880.8333333333335,2386.8333333333335,6.333333333333333,2393.166666666667,1487.6666666666665,302.4166666666667,169.66666666666666,-0.1944444444444445,169.4722222222222,132.94444444444449,-20.52777777777777,,,0.005646969819783308,0.0035302265087917843,5152.114117722104,18.18812983470297,3202.677292711668,3220.865422546371,1931.2486951757335
2020-05-28,RS,8234,213,42573,11491011,43,8.4,69166,42786,26380,3882.1666666666665,2438.6666666666665,4.5,2443.1666666666665,1439.0,-35.5,-23.5,0.11111111111111116,-23.38888888888889,-12.11111111111111,-77.58333333333333,,,0.004978263918104053,0.0030795477546771534,6019.139656206055,18.536228013357572,3704.8959399655955,3723.432167978953,2295.707488227102
2020-05-29,RS,8843,216,45453,11491011,43,8.4,74281,45669,28612,3795.3333333333335,2579.6666666666665,4.833333333333333,2584.5,1210.8333333333335,-79.33333333333333,-28.0,0.24999999999999986,-27.75,-51.58333333333333,-79.56944444444444,,,0.004729685344544439,0.0029078768460306134,6464.270202160628,18.797301647348522,3955.526628596909,3974.323930244258,2489.9462719163703
