country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Spain,2020-04-19,40.0,-4.0,47545141,30324,,samples tested,198674,122775.088,20453,198674,143228.088,55445.912,3906.833,4548.554,400.333,4948.887,-1042.05377,-592.88889,-89.84576,-6.88889,-96.73465,-496.15424,,,,0.1428,0.1029,4178.639,430.181,2582.285,3012.465,1166.174,,
Sri Lanka,2020-04-19,7.0,81.0,22017708,4102,,,271,236.786,7,271,243.786,27.214,15.333,2.287,0.0,2.287,13.046,3.75,,,,,0.8889,-0.15451,-0.15842,0.02871,0.02583,12.308,0.3179,10.754,11.072,1.236,,
Sudan,2020-04-19,12.863,30.218,43832398,977,,,66,13.378,10,66,23.378,42.622,18.0,2.799,1.333,4.132,13.868,3.056,0.9788,0.02778,1.007,2.049,-0.23611,-0.17708,,0.4277,0.1515,1.506,0.2281,0.3052,0.5334,0.9724,,
Suriname,2020-04-19,3.919,-56.0278,589022,6234,,,10,9.402,1,10,10.402,-0.40159,0.0,-0.0388,0.0,-0.0388,0.0388,,,,,,,,,0.09614,0.1,16.977,1.698,15.961,17.659,-0.68179,,
Sweden,2020-04-19,63.0,16.0,10331337,54651,95100,people tested,14385,7501.602,1540,14385,9041.602,5343.398,577.333,371.642,100.667,472.309,105.024,9.861,9.457,0.8611,10.318,-0.45725,-1.84028,,,0.1703,0.1071,1392.366,149.061,726.102,875.163,517.203,6.611,9205.004
Switzerland,2020-04-19,46.818,8.228,8675300,82829,227367,samples tested,27740,20573.251,1393,27740,21966.251,5773.749,256.0,491.817,38.0,529.817,-273.81736,-24.94444,-22.51104,-1.36111,-23.87215,-1.0723,,,,0.06342,0.05022,3197.584,160.571,2371.474,2532.045,665.539,8.196,26208.546
Taiwan,2020-04-19,23.7,121.0,,,53632,samples tested,420,350.674,6,420,356.674,63.326,5.167,4.903,0.0,4.903,0.2639,-0.5,0.00468,,,,-0.33333,,,0.01682,0.01429,,,,,,127.695,
Tajikistan,2020-04-19,38.861,71.276,9494572,827,,,0,0.1006,0,0,0.1006,-0.10064,,-0.00972,,,,,,,,,,,,0.0,,0.0,0.0,0.0106,0.0106,-0.0106,,
Tanzania,2020-04-19,-6.369,34.889,59664818,1061,,,170,50.361,7,170,57.361,112.639,31.667,10.16,1.0,11.16,20.507,0.2222,1.553,-0.02778,1.525,-1.30265,-0.99306,,,0.122,0.04118,2.849,0.1173,0.8441,0.9614,1.888,,
Thailand,2020-04-19,15.0,101.0,70187992,7274,40897,people tested,2765,2141.014,47,2765,2188.014,576.986,25.667,52.927,0.5,53.427,-27.76021,-1.22222,-2.37029,-0.08333,-2.45363,1.231,,,,0.02148,0.017,39.394,0.6696,30.504,31.174,8.221,14.791,582.678
Togo,2020-04-19,8.62,0.8248,8313208,679,,,84,58.046,5,84,63.046,20.954,1.167,1.82,0.1667,1.986,-0.81976,0.1389,-0.06526,-0.02778,-0.09304,0.2319,,,,0.07931,0.05952,10.104,0.6015,6.982,7.584,2.521,,
Trinidad and Tobago,2020-04-19,10.692,-61.2225,1404205,17130,,,114,90.762,8,114,98.762,15.238,0.1667,1.487,0.0,1.487,-1.32066,0.0,-0.12759,,,,,,,0.081,0.07018,81.185,5.697,64.636,70.333,10.851,,
Tunisia,2020-04-19,34.0,9.0,11792303,3448,17558,units unclear,879,579.157,38,879,617.157,261.843,14.5,23.748,0.1667,23.915,-9.41488,-2.58333,-0.55424,-0.11111,-0.66535,-1.91798,,,,0.06157,0.04323,74.54,3.222,49.113,52.336,22.205,19.975,1488.937
Turkey,2020-04-19,38.964,35.243,84767099,9370,634277,samples tested,86306,45191.225,2017,86306,47208.225,39097.775,4080.167,3435.943,122.167,3558.109,522.057,-105.27778,55.865,-0.88889,54.977,-160.25429,,,,0.04273,0.02337,1018.154,23.795,533.122,556.917,461.238,7.349,7482.585
Uganda,2020-04-19,1.0,32.0,45624665,643,12565,samples tested,55,84.485,0,55,84.485,-29.48504,1.333,-2.72566,,,,0.5278,,,,,-0.02083,-0.07812,,0.0,0.0,1.205,0.0,1.852,1.852,-0.64625,228.455,275.399
Ukraine,2020-04-19,48.379,31.166,44143362,3095,57111,units unclear,5449,2390.07,141,5449,2531.07,2917.93,405.167,243.272,9.667,252.939,152.228,9.139,14.076,0.3333,14.409,-5.27026,1.153,,,0.05571,0.02588,123.439,3.194,54.143,57.338,66.101,10.481,1293.762
United Arab Emirates,2020-04-19,24.0,54.0,10910461,43005,,,6781,3497.099,41,6781,3538.099,3242.901,402.167,297.526,2.833,300.36,101.807,21.444,10.221,0.3889,10.61,10.835,,-1.40625,,0.01159,0.00605,621.514,3.758,320.527,324.285,297.229,,
United Kingdom,2020-04-19,24.548,-43.90225,67359087,42962,372967,people tested,121172,52077.433,18527,121172,70604.433,50567.567,5082.167,3619.285,856.167,4475.452,606.715,-89.02778,67.271,-8.61111,58.66,-147.68777,,,,0.2624,0.1529,1798.896,275.048,773.132,1048.18,750.716,3.078,5536.996
United States,2020-04-19,37.09,-95.7129,332049547,62887,3906118,units unclear,756375,422441.908,41148,756375,463589.908,292785.092,28023.667,24387.203,2103.0,26490.203,1533.464,274.694,231.028,-6.80556,224.223,50.472,,,,0.08876,0.0544,2277.898,123.921,1272.226,1396.147,881.751,5.164,11763.66
Uruguay,2020-04-19,-32.5228,-55.7658,3464003,17278,12826,samples tested,528,838.913,10,528,848.913,-320.91276,7.833,-32.20287,0.5,-31.70287,39.536,0.6389,,0.05556,,,-0.10417,,,0.01178,0.01894,152.425,2.887,242.18,245.067,-92.64217,24.292,3702.653
Uzbekistan,2020-04-19,41.378,64.585,34035959,1532,,,1565,783.654,5,1565,788.654,776.346,61.167,69.026,0.5,69.526,-8.35969,-7.5,-0.15312,0.05556,-0.09756,-7.40244,,,,0.00634,0.00319,45.981,0.1469,23.024,23.171,22.81,,
Venezuela,2020-04-19,6.424,-66.5897,29442841,4842,,,256,158.002,9,256,167.002,88.998,14.0,6.466,0.1667,6.633,7.367,0.0,0.6687,,,,-0.84722,,,0.05389,0.03516,8.695,0.3057,5.366,5.672,3.023,,
Vietnam,2020-04-19,16.0,108.0,97455744,2567,163377,units unclear,268,234.956,0,268,234.956,33.044,0.0,3.192,,,,-0.02778,-0.28558,,,,,,,0.0,0.0,2.75,0.0,2.411,2.411,0.3391,609.616,1676.422
West Bank and Gaza,2020-04-19,31.952,35.233,4801744,3199,,,319,232.965,2,319,234.965,84.035,6.833,7.651,0.0,7.651,-0.81722,-0.63889,-0.12583,,,,,,,0.00851,0.00627,66.434,0.4165,48.517,48.933,17.501,,
Western Sahara,2020-04-19,24.216,-12.8858,,,,,6,4.025,0,6,4.025,1.975,0.0,0.1908,,,,,-0.01843,,,,,,,0.0,0.0,,,,,,,
Yemen,2020-04-19,15.553,48.516,,,,,1,0.5779,0,1,0.5779,0.4221,0.0,0.04078,,,,,-0.00394,,,,,,,0.0,0.0,,,,,,,
Zambia,2020-04-19,-15.4167,28.283,18364219,1540,,,61,36.505,3,61,39.505,21.495,4.333,1.639,0.1667,1.806,2.527,0.1944,0.2103,-0.02778,0.1826,0.01188,-0.11111,,,0.07594,0.04918,3.322,0.1634,1.988,2.151,1.17,,
Zimbabwe,2020-04-19,-20.0,30.0,14755201,2147,,,25,11.788,3,25,14.788,10.212,0.8333,0.8137,0.1667,0.9804,-0.14708,-0.05556,-0.02931,,,,,,,0.2029,0.12,1.694,0.2033,0.7989,1.002,0.6921,,
